key,message,comment,context
Additional Partner/Contacts,Parceiro / Contatos Adicionais,,
Additional leads,Leads adicionais,,
Allow the editing of the targets,Permitir a edição dos alvos,,
"An event will be generated by target, are you sure you want to continue ?",Um evento será gerado por destino. Tem certeza de que deseja continuar?,,
Assign to,Atribuir a,,
Assigned to,Atribuído a,,
Attendee,Participante,,
Attendees,Participantes,,
Batchs,Lotes,,
Both,Ambos,,
Campaign,Campanha,,
Campaign Type,Tipo de campanha,,
Campaign reminders,Lembretes da campanha,,
Campaign type,Tipo de campanha,,
Campaign types,Tipos de campanha,,
Campaigns,Campanhas,,
Cancel,Cancelar,,
Clear Selection,Seleção clara,,
Configuration,Configuração,,
Contact,Contato,,
Contact/Partner reminder template,Modelo de lembrete de contato / parceiro,,
Contact/Partners template,Modelo de contato / parceiros,,
Days,Dias,,
Draft,Rascunho,,
Duration,Duração,,
Duration type,Tipo de duração,,
Email,O email,,
Email Account,Conta de e-mail,,
Email sending log,E-mail enviando log,,
Emailing,Envio por e-mail,,
Emailing report,Relatório de envio por e-mail,,
Emails sent successfully,Emails enviados com sucesso,,
End,Final,,
Ended,Terminou,,
Enrolled,Inscrito,,
Error in sending an email to the following targets,Erro ao enviar um email para os seguintes alvos,,
Error in sending emails. Please check the log file generated.,"Erro no envio de emails. Por favor, verifique o arquivo de log gerado.",,
Event Type,Tipo de evento,,
Event end,Final do evento,,
Event start,Início do evento,,
Event type,Tipo de evento,,
Events,Eventos,,
Fiscal position,Posição Fiscal,,
Generate Events,Gerar Eventos,,
Generate Targets,Gerar alvos,,
Generate event to the team and salesman in charge of the partner/leads,Gerar evento para a equipe e o vendedor responsável pelo parceiro / leads,,
Generated emails,E-mails gerados,,
Guided,Guiado,,
Hours,Horas,,
Informations,Informações,,
Invite all targets,Convide todos os alvos,,
Invite selected targets,Convide alvos selecionados,,
Invited,Convidamos,,
Launch emailing,Lançar emailing,,
Lead,Conduzir,,
Lead Query,Consulta de leads,,
Lead filters,Filtros de chumbo,,
Lead reminder template,Modelo de lembrete principal,,
Leads,Conduz,,
Leads Target List,Lista de alvos de leads,,
Leads template,Modelo de leads,,
Manage an event per target,Gerenciar um evento por destino,,
Manage attendees,Gerenciar participantes,,
Manual,Manual,,
Marketing,Marketing,,
Marketing Campaigns,Campanhas de marketing,,
Minutes,Minutos,,
Name,Nome,,
Not participating,Não participando,,
Open filtered leads,Abrir leads filtrados,,
Open filtered partners,Abrir parceiros filtrados,,
Open planned events,Eventos planejados abertos,,
Participate,Participar,,
Partner,Parceiro,,
Partner Query,Consulta de parceiro,,
Partner filters,Filtros de parceiros,,
Partner/Contacts Target List,Lista de alvos do parceiro / contatos,,
Partners,Parceiros,,
Past events,Eventos passados,,
Plan,Plano,,
Planned,Planejado,,
Planned events,Eventos planejados,,
Please add atleast one invited Partner or Lead.,"Por favor, adicione pelo menos um parceiro ou lead convidado.",,
Please select at least one template,"Por favor, selecione pelo menos um modelo",,
Please select target,"Por favor, selecione o alvo",,
Presence,Presença,,
Present at the event,Presente no evento,,
Related to,Relacionado a,,
Related to select,Relacionado a selecionar,,
Reminded,Lembrado,,
Reminders,Lembretes,,
Report,Relatório,,
Results,Resultados,,
Select Query type,Selecione o tipo de consulta,,
Select target field,Selecione o campo de destino,,
Select type,Selecione o tipo,,
Send a reminder,Envie um lembrete,,
Sequence,Seqüência,,
Stage,Palco,,
Start,Começar,,
Start date time,Data de início,,
Started,Começado,,
Subject,Sujeito,,
Suspend,Suspender,,
Suspended,Suspenso,,
Target List,Lista de alvos,,
Target Model,Modelo Alvo,,
Target list,Lista de alvos,,
Target lists,Listas de alvos,,
Targets,Alvos,,
Targets to contact,Metas para entrar em contato,,
Team,Equipe,,
Template,Modelo,,
Tools,Ferramentas,,
Type,Tipo,,
Weeks,Semanas,,
value:Marketing Management,valor: gestão de marketing,,
