key,message,comment,context
An error occurs while opening the connection. Please verify the following URL : %s.,"Ocorre um erro ao abrir a conexão. Por favor, verifique o seguinte URL: %s.",,
Can not opening the connection to a empty URL.,Não é possível abrir a conexão para um URL vazio.,,
Cannot find record #%s,Não é possível encontrar o registro #%s,,
No such template,Nenhum modelo,,
Templating can not be empty,O Modelo não pode estar vazio,,
The collection of IDs cannot be null.,A coleção de IDs não pode ser nula.,,
The consumer cannot be null.,O consumidor não pode ser nulo.,,
The parameter copyNumber should be superior to 0.,O parâmetro cópias deve ser superior a 0.,,
This field needs to be unique.,Este campo precisa ser único.,,
Url %s is malformed.,A URL %s está malformada.,,
Years in 360 days,Anos em 360 dias,,
