key,message,comment,context
Accept,Aceitar,,
Accepted,Aceito,,
Actions,Ações,,
Available qty,Qtde disponível,,
Cancel,Cancelar,,
Canceled,Cancelado,,
Comments,Comentários,,
Estim. delivery date,Estim. data de entrega,,
Generate all suppliers requests,Gerar todas as solicitações de fornecedores,,
Generate suppliers purchase orders,Gerar pedidos de fornecedores,,
Initial purchase order,Pedido de compra inicial,,
My R.F.Q.,Meu RFQ,,
My R.F.Q. to complete,Meu RFQ para concluir,,
My deliveries,Minhas entregas,,
My purchase orders,Minhas ordens de compra,,
My space,Meu espaço,,
Not accept,Não aceite,,
Not accepted,Não aceito,,
Ordered quantity,Quantidade solicitada,,
Purchase order,Ordem de compra,,
Purchase order Details,Detalhes do pedido de compra,,
Receipt date,Data do recibo,,
Request,Pedido,,
Requested,Requeridos,,
Show suppliers purchase orders,Mostrar pedidos de compra de fornecedores,,
State,Estado,,
Status,Status,,
Stock move,Movimentação de estoque,,
Stock move informations,Informações de movimentação de estoque,,
Stock move line,Linha de movimentação de estoque,,
Stock move lines,Linhas de movimentação de estoque,,
Stock move reference,Referência de movimentação de estoque,,
Stock moves,Movimentos de estoque,,
Submit,Enviar,,
Submitted,Envidado,,
Supplier,Fornecedor,,
Supplier RFQ/PO,Fornecedor RFQ / PO,,
Supplier consultations,Consultas de fornecedores,,
Supplier request,Solicitação de fornecedor,,
Supplier request management,Gerenciamento de solicitações de fornecedores,,
Supplier's consulting's request created,Solicitação de consultoria do fornecedor criada,,
Suppliers orders' generation over,Geração de pedidos de fornecedores sobre,,
Suppliers purchase,Compra de fornecedores,,
Suppliers requests,Solicitações de fornecedores,,
Tools,Ferramentas,,
Unit price,Preço unitário,,
WARNING : To Date must be after or equals to From Date,AVISO: Data ‘Até’ deve ser depois ou igual a Data ‘De’,,
Write to the supplier,Escreva para o fornecedor,,
suppliers requests,pedidos de fornecedores,,
