key,message,comment,context
Amount,Montante,,
Auto,Auto,,
Balance,Equilibrar,,
Bank,Banco,,
Base,Base,,
Best,Melhor,,
Both,Ambos,,
Cash management,Gestão de caixa,,
Comments,Comentários,,
Company,Empresa,,
Configuration,Configuração,,
Confirmed,Confirmado,,
Currency,Moeda,,
Current balance,Saldo atual,,
Customers payment delay (Average in days),Atraso no pagamento de clientes (média em dias),,
Date,Encontro,,
Details,Detalhes,,
Display,Exibição,,
Ending Balance,Balanço final,,
Estimated date,Data estimada,,
Estimated payment date,Data de pagamento estimada,,
Expected,Esperado,,
Forecast,Previsão,,
Forecast Assistant,Assistente de previsão,,
Forecast Assistants,Assistentes de previsão,,
Forecast Reasons,Razões de Previsão,,
Forecast Recap,Previsão de Recapitulação,,
Forecast Recaps,Previsões de Recapitulação,,
Forecast Report,Relatório de previsão,,
Forecast Reports,Relatórios de previsão,,
Forecast generator,Gerador de previsão,,
Forecast reason,Razão previsão,,
Forecast reasons,Razões de previsão,,
Forecast recap,Previsão de recapitulação,,
ForecastRecap,,,
Forecasts,Previsões,,
Forecasts generated,Previsões geradas,,
From,De,,
Generate,Gerar,,
Invalid dates,Datas inválidas,,
Is report,É um relatório,,
Line,Linha,,
Lines,Linhas,,
Marges,Marges,,
No,Não,,
Payment delay (Average),Atraso de pagamento (média),,
Periodicity,Periodicidade,,
Please select a company,Por favor selecione uma empresa,,
Populate,Preencher,,
Previsional Marges,Margens Previstas,,
Previsional Sales,Vendas Previstas,,
Previsional Spending,Gastos Previstos,,
Realized,Realizado,,
Reason,Razão,,
Sales,Vendas,,
SalesMan,Vendedor,,
Show histrogram,Mostrar o histograma,,
Spending,Gastos,,
Starting Balance,Começando o equilíbrio,,
Suppliers payment delay (Average in days),Atraso de pagamento de fornecedores (média em dias),,
Take into account opportunies,Considerar as oportunidades,,
To,Para,,
Type,Tipo,,
Update,Atualizar,,
Worst,Pior,,
Yes,Sim,,
value:Cash management,valor: gerenciamento de caixa,,
